"query","superkingdom","kingdom","subkingdom","phylum","subphylum","class","subclass","superorder","order","suborder","family","subfamily","tribe","subtribe","genus","species"
"OTU00244","","","","","","","","","","","","","","","",""
"OTU00245","","","","","","","","","","","","","","","",""
"OTU00246","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00247","","","","","","","","","","","","","","","",""
"OTU00248","","","","","","","","","","","","","","","",""
"OTU00249","Eukaryota","Fungi","","Chytridiomycota","","Chytridiomycetes","","","Rhizophydiales","","","","","","",""
"OTU00250","","","","","","","","","","","","","","","",""
"OTU00251","Eukaryota","","","","","Chrysophyceae","","","","","","","","","",""
"OTU00252","","","","","","","","","","","","","","","",""
"OTU00253","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00254","","","","","","","","","","","","","","","",""
"OTU00255","","","","","","","","","","","","","","","",""
"OTU00256","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycotina","Agaricomycetes","","","Hymenochaetales","","Hirschioporaceae","","","","Pallidohirschioporus","Pallidohirschioporus polycystidiatus"
"OTU00257","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00258","","","","","","","","","","","","","","","",""
"OTU00259","","","","","","","","","","","","","","","",""
"OTU00260","","","","","","","","","","","","","","","",""
"OTU00261","","","","","","","","","","","","","","","",""
"OTU00262","","","","","","","","","","","","","","","",""
"OTU00263","Eukaryota","","","","","Synurophyceae","","","Synurales","","Mallomonadaceae","","","","",""
"OTU00264","","","","","","","","","","","","","","","",""
"OTU00265","","","","","","","","","","","","","","","",""
"OTU00266","","","","","","","","","","","","","","","",""
"OTU00267","","","","","","","","","","","","","","","",""
"OTU00268","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycotina","Agaricomycetes","","","Russulales","","Stereaceae","","","","Stereum",""
"OTU00269","","","","","","","","","","","","","","","",""
"OTU00270","","","","","","","","","","","","","","","",""
"OTU00271","","","","","","","","","","","","","","","",""
"OTU00272","","","","","","","","","","","","","","","",""
"OTU00273","Eukaryota","Fungi","Dikarya","Ascomycota","Pezizomycotina","Dothideomycetes","Pleosporomycetidae","","Pleosporales","Pleosporineae","Phaeosphaeriaceae","","","","Setophoma","Setophoma sp."
"OTU00274","","","","","","","","","","","","","","","",""
"OTU00275","Eukaryota","Fungi","","","","","","","","","","","","","","fungal sp."
